P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
Kepler-1907 b,Transit,Kepler,2021,0.589,M-R relationship,0.87,5.6524501,0.0565,0.0,85.0,,Kepler-1907,,13.989,292.111,5159.0,0.75,0.8,-0.16,14.0,-0.625,4.51,0.82280708,0.67701149,0.77817413,0.89445302,0.00052141682,0.0565,0.0565,0.0565,0.0565,74.285338,747.86892,844.60043,Terran,K,0.23713737,1.3148123,0.63639049,0.50458376,0,0,Hot,0,0.30992488,0
Kepler-1955 b,Transit,Kepler,2021,1.69,M-R relationship,1.167,14.2652,0.117,0.0,89.29,,Kepler-1955,,12.609,449.351,5825.0,1.05,1.29,0.14,,0.23,4.24,1.2033942,1.4481577,1.2409235,1.0633449,0.0013715245,0.117,0.117,0.117,0.117,124.059,850.17196,960.13564,Terran,G,1.6982437,3.5185503,2.2353606,0.46890071,0,0,Hot,0,0.30207098,0
Kepler-1468 d,Transit,Kepler,2021,11.1,M-R relationship,3.332,19.590599,0.1456,0.0,88.43,,Kepler-1468,,15.111,1899.24,5794.0,1.07,1.5,0.14,3.55,0.531,4.12,1.8251938,3.3313325,0.99979968,0.30005993,0.0031763354,0.1456,0.1456,0.1456,0.1456,160.20544,906.29383,,Neptunian,G,3.3962527,4.9758097,2.1327965,0.45191576,0,0,Hot,0,0.20466086,0
Kepler-1165 b,Transit,Kepler,2016,3.02,M-R relationship,1.55,9.478522,0.0914,0.0,89.46,,Kepler-1165,,14.521,1575.2,6080.0,1.13,1.18,0.05,3.24,0.552,4.34,1.3958464,1.9483871,1.2570239,0.81098318,0.0012687448,0.0914,0.0914,0.0914,0.0914,426.68523,1157.7815,1307.5323,Terran,F,3.5645113,5.0975766,3.5500738,0.45325418,0,0,Hot,0,0.27986469,0
Kepler-1954 b,Transit,Kepler,2021,3.9,M-R relationship,1.802,5.88343,0.0625,0.0,88.75,,Kepler-1954,,15.875,1373.83,5840.0,0.94,0.85,-0.24,,0.045,4.55,1.4711431,2.1642619,1.2010333,0.66650014,0.0010045638,0.0625,0.0625,0.0625,0.0625,283.94875,1045.7062,1180.9609,Superterran,G,1.1091748,2.843569,2.2106444,0.4519188,0,0,Hot,0,0.26926891,0
Kepler-1958 b,Transit,Kepler,2021,4.86,M-R relationship,2.051,9.32862,0.0856,0.0,89.96,,Kepler-1958,,15.486,1320.38,5749.0,0.96,0.86,-0.1,,-0.001,4.55,1.5393427,2.3695758,1.1553271,0.5632994,0.0014702145,0.0856,0.0856,0.0856,0.0856,136.16092,870.18747,982.74001,Superterran,G,0.99770006,2.6968933,1.9040131,0.45510143,0,0,Hot,0,0.2618556,0
Kepler-1488 c,Transit,Kepler,2021,3.37,M-R relationship,1.652,6.1582699,0.0658,0.0,84.39,,Kepler-1488,,13.146,905.825,5710.0,1.0,1.52,0.0,6.92,0.587,4.07,1.4282687,2.0399516,1.2348375,0.74748034,0.00098678175,0.0658,0.0658,0.0658,0.0658,892.37668,1392.3126,1572.3983,Superterran,G,3.8636698,5.3071793,1.8050155,0.49382816,0,0,Hot,0,0.27337393,0
Kepler-1665 b,Transit,Kepler,2020,8.44,M-R relationship,2.839,11.9548,0.1006,0.0,89.03,,Kepler-1665,,13.737,335.515,5049.84,0.84,0.78,-0.013,13.9,-0.45,4.58,1.7242035,2.9728778,1.0471567,0.36884701,0.0021713889,0.1006,0.1006,0.1006,0.1006,35.059364,619.87014,,Neptunian,K,0.35481339,1.6082878,0.54787749,0.52338395,0,0,Hot,0,0.25112794,0
KIC 10068024 b,Orbital Brightness Modulation,Kepler,2021,635.65681,Msini,13.4,2.073549,0.033996881,,,,KIC 10068024,,13.144,721.105,6118.4,1.22,1.57,0.01,0.56,0.496,4.09,6.8874578,47.437075,3.5400803,0.26418509,0.0027363939,0.033996881,0.033996881,0.033996881,0.033996881,2710.9522,1838.1467,,Jovian,F,3.1332857,4.7792942,3.8902912,0.34703727,0,0,Hot,0,0.067251942,0
Kepler-1312 c,Transit,Kepler,2021,1.07,M-R relationship,1.027,1.11612,0.0209,0.0,82.64,,Kepler-1312,,12.491,299.104,5721.0,0.98,0.91,0.02,0.4,-0.099,4.52,1.0207201,1.0418695,1.0144786,0.98780779,0.00021527029,0.0209,0.0209,0.0209,0.0209,1822.6674,1664.4723,1879.7599,Terran,G,0.79615935,2.4091496,1.8271053,0.30500727,0,0,Hot,0,0.29360591,0
Kepler-1321 b,Transit,Kepler,2016,21.5,M-R relationship,4.92,11.128305,0.0781,0.0,88.83,,Kepler-1321,,17.5054,769.146,4094.0,0.54,0.53,-0.45,4.17,-0.862,4.73,2.0904351,4.3699187,0.88819486,0.18052741,0.0026675824,0.0781,0.0781,0.0781,0.0781,22.526719,554.97599,,Neptunian,K,0.1374042,1.0008379,0.09152763,0.36958309,0,0,Hot,0,0.20135556,0
Kepler-1322 c,Transit,Kepler,2021,5.29,M-R relationship,2.155,6.45998,0.0652,0.0,86.82,,Kepler-1322,,15.876,1350.32,5704.0,0.9,0.8,-0.3,0.4,-0.101,4.58,1.5667662,2.4547564,1.1390981,0.5285838,0.001176984,0.0652,0.0652,0.0652,0.0652,186.42528,941.29535,1063.0452,Superterran,G,0.79250133,2.4036087,1.7248515,0.29647108,0,0,Hot,0,0.25408089,0
Kepler-1816 b,Transit,Kepler,2021,4.53,M-R relationship,1.968,91.500999,0.3648,0.0,89.99,,Kepler-1816,,14.734,437.823,5051.0,0.79,0.71,-0.24,0.7,-0.531,4.63,1.5171781,2.3018293,1.1696287,0.59432352,0.0065312621,0.3648,0.3648,0.3648,0.3648,2.212536,310.68644,350.87151,Superterran,K,0.29444216,1.4650882,0.5378546,0.31161393,0,0,Hot,0,0.64727417,0
Kepler-1687 b,Transit,Kepler,2020,3.38,M-R relationship,1.656,5.77954,0.0532,0.0,82.13,,Kepler-1687,,15.928,417.014,4132.0,0.65,0.73,-0.14,13.8,-0.859,4.53,1.4286577,2.0410628,1.2325258,0.74427889,0.0009219301,0.0532,0.0532,0.0532,0.0532,48.885126,673.5873,760.71102,Superterran,K,0.13835664,1.0043007,0.10393087,0.47992769,0,0,Hot,0,0.29913405,0
Kepler-1729 b,Transit,Kepler,2021,14.4,M-R relationship,3.894,4.2209702,0.0418,0.0,85.03,,Kepler-1729,,15.676,576.181,3837.0,0.54,0.52,-0.06,1.2,-0.663,4.75,1.9230177,3.6979969,0.94966536,0.24387914,0.0012491592,0.0418,0.0418,0.0418,0.0418,124.35047,850.67088,,Neptunian,M,0.21727012,1.2585306,0.058857241,0.30029836,0,0,Hot,0,0.18820487,0
Kepler-1530 d,Transit,Kepler,2021,10.8,M-R relationship,3.279,9.2076101,0.0865,0.0,85.3,,Kepler-1530,,14.15,489.876,5678.0,1.02,1.3,0.2,4.27,-0.311,4.21,1.8148518,3.2936871,1.0044791,0.30633704,0.0018999517,0.0865,0.0865,0.0865,0.0865,65.308211,724.17188,,Neptunian,G,0.48865236,1.8873992,1.719776,0.45866564,0,0,Hot,0,0.21761606,0
Kepler-1899 b,Transit,Kepler,2021,3.02,M-R relationship,1.551,4.0957799,0.0457,0.0,86.6,,Kepler-1899,,16.136,711.509,4791.0,0.76,0.74,0.07,13.9,-0.672,4.58,1.3953963,1.9471309,1.2554035,0.80941556,0.00072404557,0.0457,0.0457,0.0457,0.0457,101.89846,809.35976,914.04467,Terran,K,0.2128139,1.2455575,0.3396798,0.5062113,0,0,Hot,0,0.29001487,0
GJ 3512 b,Radial Velocity,Calar Alto Observatory,2019,146.20107,Msini,14.3,203.69,0.337,0.44,,125.8,GJ 3512,M5.5 V,15.18,9.48637,3081.0,0.12,0.14,-0.07,5.5,-2.804,5.16,3.1974757,10.223851,0.71495462,0.049996826,0.02016166,0.3696216,0.18872,0.48528,0.34572657,0.015398022,86.244881,,Jovian,M,0.0015703628,0.10699507,0.0097274098,0.23442955,0,0,Cold,0,0.079154938,0
Kepler-1722 b,Transit,Kepler,2021,8.58,M-R relationship,2.867,9.1785698,0.0819,0.0,88.77,,Kepler-1722,,14.997,772.283,5506.0,0.88,0.79,-0.2,1.4,-0.17,4.58,1.729935,2.9926753,1.0438351,0.36408619,0.0017501315,0.0819,0.0819,0.0819,0.0819,100.79342,807.15652,,Neptunian,G,0.67608298,2.2200552,1.218336,0.36258269,0,0,Hot,0,0.22728089,0
Kepler-1723 b,Transit,Kepler,2021,8.65,M-R relationship,2.88,39.752899,0.2249,0.0,89.96,,Kepler-1723,,14.383,811.278,6072.0,0.96,1.01,-0.3,3.3,0.034,4.41,1.7330529,3.0034722,1.0428723,0.36210844,0.0046811906,0.2249,0.2249,0.2249,0.2249,21.380659,547.7785,,Neptunian,F,1.081434,2.8077844,3.3163934,0.4305936,0,0,Hot,0,0.27060465,0
Kepler-462 c,Transit,Kepler,2020,6.0,Mass,4.0,207.62,0.7584,0.11,89.63,14.9,Kepler-462,,11.632,596.625,7500.0,1.59,1.57,0.05,0.5,0.926,4.22,1.2247449,1.5,0.375,0.09375,0.010511345,0.76298832,0.674976,0.841824,0.75955166,14.751863,498.10517,,Neptunian,A,8.4333476,7.8408612,45.620963,0.37197939,0,0,Hot,0,0.25093962,0
Kepler-1266 c,Transit,Kepler,2021,3.46,M-R relationship,1.68,4.8663101,0.052,0.0,84.73,,Kepler-1266,,16.016,849.312,4996.0,0.79,0.83,0.14,5.13,-0.53,4.5,1.4351041,2.0595238,1.225907,0.72970657,0.00085101705,0.052,0.052,0.052,0.052,109.14235,823.37568,929.87345,Superterran,K,0.29512092,1.4667759,0.48935992,0.43429693,0,0,Hot,0,0.28292516,0
Kepler-1898 b,Transit,Kepler,2021,0.76,M-R relationship,0.934,4.7656202,0.0522,0.0,89.51,,Kepler-1898,,13.387,360.921,5702.0,0.84,1.12,-0.28,,-0.235,4.26,0.90205571,0.8137045,0.87120396,0.93276655,0.00050501063,0.0522,0.0522,0.0522,0.0522,213.6284,973.90021,1099.8672,Terran,G,0.58210322,2.0599836,1.6798548,0.43528886,0,0,Hot,0,0.29906686,0
Kepler-1935 b,Transit,Kepler,2021,6.82,M-R relationship,2.503,3.9514,0.0463,0.0,79.61,,Kepler-1935,,14.522,904.702,5570.0,0.85,0.9,-0.18,,0.164,4.46,1.6506757,2.7247303,1.0885858,0.43491244,0.00092716008,0.0463,0.0463,0.0463,0.0463,680.51549,1301.0956,,Neptunian,G,1.4588143,3.2610974,1.3443037,0.43700939,0,0,Hot,0,0.23246092,0
GJ 480 b,Radial Velocity,Multiple Observatories,2020,13.2,Msini,3.69,9.567,0.068,0.1,,151.0,GJ 480,M3.5 Ve,11.49,14.2358,3381.0,0.45,0.46,,,-1.612,4.78,1.8913582,3.5772358,0.96944059,0.26272103,0.0018879499,0.06834,0.0612,0.0748,0.06808528,5.3108566,385.98737,,Neptunian,M,0.024434306,0.42204986,0.025303253,0.35352649,0,0,Hot,0,0.36929478,0
Kepler-1726 b,Transit,Kepler,2021,6.84,M-R relationship,2.509,18.396299,0.1306,0.0,88.18,,Kepler-1726,,13.851,390.552,5316.0,0.88,0.8,0.0,10.9,-0.37,4.57,1.6511165,2.7261857,1.0865627,0.43306603,0.0025877336,0.1306,0.1306,0.1306,0.1306,25.009997,569.67626,,Neptunian,G,0.42657952,1.7634525,0.87903198,0.51045424,0,0,Hot,0,0.27991062,0
Kepler-1749 b,Transit,Kepler,2021,3.23,M-R relationship,1.613,14.5341,0.0956,0.0,88.07,,Kepler-1749,,14.95,268.2,3957.0,0.55,0.55,-0.16,13.9,-0.95,4.69,1.4150901,2.0024799,1.241463,0.76966089,0.0017252674,0.0956,0.0956,0.0956,0.0956,12.276773,476.8379,538.51347,Superterran,K,0.11220185,0.90440669,0.072776366,0.4544801,0,0,Hot,0,0.37692318,0
Kepler-1790 b,Transit,Kepler,2021,10.0,M-R relationship,3.145,31.5889,0.197,0.0,89.84,,Kepler-1790,,14.179,1070.17,5866.0,1.02,1.37,0.0,0.5,0.383,4.17,1.7831574,3.1796502,1.0110176,0.32146822,0.0042174643,0.197,0.197,0.197,0.197,62.239708,715.51146,,Neptunian,G,2.4154608,4.1962733,2.375429,0.32081394,0,0,Hot,0,0.22361555,0
Kepler-1940 b,Transit,Kepler,2021,3.01,M-R relationship,1.547,4.9506102,0.0525,0.0,88.69,,Kepler-1940,,15.674,798.595,5431.0,0.8,0.72,-0.44,,-0.377,4.62,1.394884,1.9457014,1.2577255,0.81300938,0.00081677679,0.0525,0.0525,0.0525,0.0525,152.29351,894.89083,1010.6386,Terran,G,0.41975898,1.7492979,1.0375539,0.42826685,0,0,Hot,0,0.28578737,0
Kepler-1727 b,Transit,Kepler,2021,10.2,M-R relationship,3.173,9.0292997,0.0796,0.0,89.94,,Kepler-1727,,15.751,894.187,5349.0,0.82,0.82,-0.12,9.7,-0.251,4.53,1.7929371,3.2146234,1.013118,0.31929341,0.0018448473,0.0796,0.0796,0.0796,0.0796,88.547003,781.43557,,Neptunian,G,0.56104798,2.0223847,0.90866463,0.48898036,0,0,Hot,0,0.21674152,0
Kepler-385 d,Transit,Kepler,2020,7.36,M-R relationship,2.619,56.4159,0.3024,0.0,87.94,,Kepler-385,,15.76,1432.61,5829.0,1.05,1.16,-0.08,3.31,0.144,4.33,1.6763749,2.8102329,1.0730175,0.40970505,0.0057889066,0.3024,0.3024,0.3024,0.3024,15.234788,503.27901,,Neptunian,G,1.3931568,3.1868657,2.2507749,0.44387355,0,0,Hot,0,0.30396702,0
Kepler-196 d,Transit,Kepler,2021,7.56,M-R relationship,2.661,122.08,0.4484,0.0,89.4,,Kepler-196,,14.239,451.312,5132.0,0.81,0.77,-0.06,3.98,-0.393,4.57,1.6855377,2.8410372,1.0676577,0.40122425,0.0094434303,0.4484,0.4484,0.4484,0.4484,2.0121891,303.40093,,Neptunian,K,0.40457589,1.7173696,0.62333247,0.41979155,0,0,Hot,0,0.60077474,0
Kepler-1912 b,Transit,Kepler,2021,2.41,M-R relationship,1.357,6.0592198,0.0646,0.0,89.19,,Kepler-1912,,12.36,297.017,5734.0,0.98,0.96,0.04,,-0.049,4.46,1.3326577,1.7759764,1.308752,0.96444507,0.00087219734,0.0646,0.0646,0.0646,0.0646,214.05973,974.39142,1100.422,Terran,G,0.89330548,2.5519007,1.868371,0.45824016,0,0,Hot,0,0.29132933,0
HD 27969 b,Radial Velocity,Haute-Provence Observatory,2021,1525.5764,Msini,12.9,654.5,1.552,0.182,,106.6,HD 27969,G0 V,7.66,67.9328,5966.0,1.16,1.27,0.18,,0.528,4.12,10.874821,118.26173,9.1675762,0.71066482,0.13913047,1.5777042,1.269536,1.834464,1.558497,1.4240695,276.53285,,Jovian,G,3.3728731,4.9586535,2.9442394,0.48473434,1,0,Warm,0,0.38212564,0
K2-401 b,Transit,K2,2022,5.74,M-R relationship,2.262,6.293099,0.063668661,,,,K2-401,K7,14.014,200.727,4213.0,0.87,0.68,-0.098,,-0.835,4.72,1.5929775,2.5375774,1.1218291,0.49594566,0.0011944698,0.063668661,0.063668661,0.063668661,0.063668661,36.070201,624.29068,705.03822,Superterran,K,0.14621772,1.0324375,0.13163825,0.44041038,0,0,Hot,0,0.27726807,0
HD 136925 b,Radial Velocity,Multiple Observatories,2021,266.97586,Msini,13.9,4540.0,5.13,0.103,,24.0642,HD 136925,,7.91433,47.874,5773.19,0.88,1.19,-0.217,,0.134,4.23,4.3825673,19.206896,1.3817911,0.099409432,0.30928451,5.1572121,4.60161,5.65839,5.1368268,0.052009334,121.40938,,Jovian,G,1.3614447,3.150386,1.928068,0.44209135,0,0,Cold,0,0.11637539,0
HD 95735 c,Radial Velocity,Multiple Observatories,2021,13.6,Msini,3.76,2946.0,2.94,0.132,,63.0,GJ 411,M1.5 V,7.49,5.675773,3719.0,0.39,0.37,-0.362,8.047,-1.71,4.9,1.9018468,3.6170213,0.96197374,0.25584408,0.083395715,2.9656133,2.55192,3.32808,2.9464402,0.002275738,55.4563,,Neptunian,M,0.019498446,0.37701946,0.043116973,0.36998607,0,0,Cold,0,0.18540091,0
Kepler-1804 b,Transit,Kepler,2021,3.18,M-R relationship,1.596,12.2885,0.1017,0.0,88.64,,Kepler-1804,,14.679,434.456,5109.0,0.93,1.67,0.1,14.0,-0.512,3.96,1.4115528,1.9924812,1.2484218,0.78221918,0.0015325721,0.1017,0.1017,0.1017,0.1017,29.741173,594.89351,671.83874,Terran,K,0.30760968,1.4974894,0.62741998,0.54209304,0,0,Hot,0,0.31925672,0
Kepler-1806 b,Transit,Kepler,2021,6.15,M-R relationship,2.356,9.0333204,0.0813,0.0,88.82,,Kepler-1806,,16.173,978.066,5311.0,0.88,0.79,-0.04,0.6,-0.435,4.59,1.6156598,2.6103565,1.1079612,0.47027215,0.0015547955,0.0813,0.0813,0.0813,0.0813,55.567251,695.51169,785.47117,Superterran,G,0.3672823,1.6363031,0.87151343,0.31483108,0,0,Hot,0,0.26047444,0
Kepler-1864 b,Transit,Kepler,2021,0.353,M-R relationship,0.754,3.88151,0.0488,0.0,88.66,,Kepler-1864,,12.123,298.894,5854.0,1.03,0.98,0.06,,0.03,4.47,0.68422932,0.46816976,0.6209148,0.82349443,0.00034159977,0.0488,0.0488,0.0488,0.0488,449.94596,1173.2479,1324.9992,Subterran,G,1.0715193,2.7948839,2.3345382,0.46590446,0,0,Hot,0,0.28907817,0
Kepler-1949 b,Transit,Kepler,2021,5.56,M-R relationship,2.22,2.2082801,0.0352,0.0,88.0,,Kepler-1949,,15.231,2617.35,6028.0,1.19,1.45,0.14,,0.713,4.19,1.5825626,2.5045045,1.1281552,0.50817801,0.00058862295,0.0352,0.0352,0.0352,0.0352,4167.8749,2046.814,2311.5548,Superterran,F,5.1641637,6.135695,3.3031535,0.48887757,0,0,Hot,0,0.24415866,0
Kepler-1952 b,Transit,Kepler,2021,2.07,M-R relationship,1.239,27.2108,0.1724,0.0,80.02,,Kepler-1952,,13.828,852.062,5973.0,0.92,1.31,-0.34,,0.291,4.17,1.2925565,1.6707022,1.3484279,1.0883195,0.002259696,0.1724,0.1724,0.1724,0.1724,65.7545,725.40589,819.23197,Terran,G,1.9543395,3.7745377,2.7582856,0.4486907,0,0,Hot,0,0.3099381,0
Kepler-1073 d,Transit,Kepler,2021,2.82,M-R relationship,1.488,2.50476,0.0352,0.0,89.08,,Kepler-1073,,14.749,809.897,5509.0,0.92,1.12,0.16,3.72,-0.01,4.31,1.3766486,1.8951613,1.2736299,0.85593407,0.00051146392,0.0352,0.0352,0.0352,0.0352,788.70514,1349.9832,1524.5939,Terran,G,0.97723722,2.6690934,1.2429123,0.43308978,0,0,Hot,0,0.28117712,0
Kepler-1699 b,Transit,Kepler,2020,3.08,M-R relationship,1.567,3.49082,0.0418,0.0,89.64,,Kepler-1699,,14.836,818.759,5575.53,0.81,0.73,0.225,,-0.339,4.62,1.4019769,1.9655392,1.2543326,0.80046754,0.00065260455,0.0418,0.0418,0.0418,0.0418,262.2089,1025.089,1157.6769,Terran,G,0.45814189,1.8275268,1.3355048,0.43004391,0,0,Hot,0,0.281095,0
K2-146 b,Transit,K2,2018,5.77,Mass,2.05,2.6446,0.0248,0.129,88.93,-64.0,K2-146,M3.0 V,16.7,79.3002,3385.0,0.33,0.33,-0.02,5.0,-1.824,4.9,1.6776871,2.8146341,1.3729923,0.66975233,0.00056080134,0.025006348,0.0216008,0.0279992,0.024851871,24.588984,565.4838,638.62509,Superterran,M,0.014996848,0.33064637,0.022975306,0.32326435,0,0,Hot,0,0.30418824,0
Kepler-1759 b,Transit,Kepler,2021,0.676,M-R relationship,0.904,3.7202301,0.0429,0.0,88.63,,Kepler-1759,,14.532,385.348,5017.0,0.76,0.8,-0.02,13.8,-0.563,4.52,0.86474714,0.74778761,0.82719868,0.91504279,0.00041268648,0.0429,0.0429,0.0429,0.0429,148.62279,889.44903,1004.4929,Terran,K,0.27352687,1.4120945,0.50083235,0.50560251,0,0,Hot,0,0.30143471,0
Kepler-462 b,Transit,Kepler,2016,53.9,Mass,3.0,84.6866,0.4172,0.042,89.34,51.9,Kepler-462,,11.632,596.625,7500.0,1.59,1.57,0.05,0.5,0.926,4.22,4.2387105,17.966667,5.9888889,1.9962963,0.012938748,0.41756797,0.3996776,0.4347224,0.41729205,48.494757,672.01607,,Neptunian,A,8.4333476,7.8408612,45.620963,0.37197939,0,0,Hot,0,0.23488035,0
Kepler-1792 b,Transit,Kepler,2021,6.89,M-R relationship,2.52,4.1957798,0.0488,0.0,87.73,,Kepler-1792,,15.566,601.029,5229.0,0.88,1.01,0.32,,-0.508,4.38,1.6535196,2.734127,1.084971,0.43054406,0.00096928298,0.0488,0.0488,0.0488,0.0488,130.3648,860.7753,,Neptunian,K,0.31045596,1.5044015,0.75699395,0.44209135,0,0,Hot,0,0.23965497,0
Kepler-1845 b,Transit,Kepler,2021,6.52,M-R relationship,2.438,11.6065,0.0885,0.0,89.97,,Kepler-1845,,16.117,710.724,4703.0,0.69,0.7,-0.14,1.0,-0.578,4.58,1.6353358,2.6743232,1.0969332,0.4499316,0.0018715209,0.0885,0.0885,0.0885,0.0885,33.737544,613.94303,693.35218,Superterran,K,0.26424088,1.3879179,0.28276338,0.31611216,0,0,Hot,0,0.27092099,0
Kepler-1760 b,Transit,Kepler,2021,5.86,M-R relationship,2.29,38.326099,0.2084,0.0,88.34,,Kepler-1760,,14.472,,5229.0,0.82,0.9,0.08,0.6,-0.26,4.44,1.5996725,2.558952,1.1174463,0.4879678,0.0040152342,0.2084,0.2084,0.2084,0.2084,12.653322,480.45294,542.59609,Superterran,K,0.54954087,2.0015377,0.73938302,0.30750675,0,0,Hot,0,0.3358355,0
Kepler-598 b,Transit,Kepler,2016,2.86,M-R relationship,1.5,3.7017543,0.0438,0.0,84.83,,Kepler-598,,14.829,681.086,5307.0,0.87,0.86,0.02,7.59,-0.258,4.51,1.380821,1.9066667,1.2711111,0.84740741,0.0006514408,0.0438,0.0438,0.0438,0.0438,287.77415,1049.2106,1184.9185,Terran,G,0.55207744,2.0061517,0.86225384,0.4787457,0,0,Hot,0,0.28369131,0
Kepler-647 b,Transit,Kepler,2016,1.71,M-R relationship,1.17,16.225465,0.1222,0.0,89.16,,Kepler-647,,14.067,1087.87,6020.0,1.03,1.07,-0.14,4.27,0.418,4.39,1.208941,1.4615385,1.2491782,1.0676737,0.0014473584,0.1222,0.1222,0.1222,0.1222,175.33055,926.96664,1046.8632,Terran,F,2.618183,4.3688161,3.104964,0.46015968,0,0,Hot,0,0.29872214,0
Kepler-647 c,Transit,Kepler,2020,15.1,M-R relationship,4.001,29.6663,0.1827,0.0,89.96,,Kepler-647,,14.067,1087.87,5906.74,1.07,1.55,-0.415,2.75,0.418,4.09,1.9426931,3.7740565,0.9432783,0.23576064,0.0044162622,0.1827,0.1827,0.1827,0.1827,78.437349,758.10688,,Neptunian,G,2.618183,4.3688161,2.5886108,0.43308673,0,0,Hot,0,0.19056326,0
Kepler-783 b,Transit,Kepler,2016,0.399,M-R relationship,0.78,4.2926464,0.0491,0.0,87.62,,Kepler-783,,14.153,516.09,5521.0,0.93,0.89,0.01,3.89,-0.231,4.51,0.71521917,0.51153846,0.65581854,0.840793,0.00037042196,0.0491,0.0491,0.0491,0.0491,243.68961,1006.4888,1136.671,Subterran,G,0.58748935,2.0694921,1.2733827,0.4379025,0,0,Hot,0,0.29324849,0
Kepler-1311 c,Transit,Kepler,2016,1.98,M-R relationship,1.22,2.5357342,0.0368,0.0,89.37,,Kepler-1311,,13.528,866.331,5748.0,1.05,1.4,0.09,7.59,0.472,4.16,1.2739509,1.6229508,1.3302876,1.0903996,0.00045476988,0.0368,0.0368,0.0368,0.0368,2189.2954,1742.5121,1967.8936,Terran,G,2.9648314,4.6490452,1.9583779,0.50971596,0,0,Hot,0,0.29007212,0
Kepler-1889 b,Transit,Kepler,2021,8.98,M-R relationship,2.944,37.303699,0.2082,0.0,87.03,,Kepler-1889,,15.715,1395.13,5646.0,0.86,0.82,-0.28,,0.22,4.55,1.7465027,3.0502717,1.0360977,0.35193537,0.0045518919,0.2082,0.2082,0.2082,0.2082,38.285873,633.66446,,Neptunian,G,1.6595869,3.4782738,1.5377847,0.43871647,0,0,Hot,0,0.24378412,0
Kepler-1941 b,Transit,Kepler,2021,7.51,M-R relationship,2.65,31.3351,0.2054,0.0,88.6,,Kepler-1941,,14.943,1494.39,6404.0,1.18,1.14,-0.06,,0.436,4.39,1.6834376,2.8339623,1.0694197,0.40355461,0.0038074861,0.2054,0.2054,0.2054,0.2054,64.684336,722.43618,,Neptunian,F,2.7289778,4.4602969,6.2841633,0.48750431,0,0,Hot,0,0.24356649,0
Kepler-1911 b,Transit,Kepler,2021,1.01,M-R relationship,1.011,5.9907999,0.0636,0.0,84.42,,Kepler-1911,,12.245,269.912,5721.0,0.95,0.97,0.0,,-0.078,4.44,0.99950532,0.99901088,0.98814133,0.97739004,0.00064929435,0.0636,0.0636,0.0636,0.0636,206.57881,965.76431,1090.679,Terran,G,0.83560302,2.4681058,1.8082678,0.4535157,0,0,Hot,0,0.29969545,0
Kepler-1851 b,Transit,Kepler,2021,14.5,M-R relationship,3.9,12.0229,0.1016,0.0,87.95,,Kepler-1851,,15.699,1589.81,5982.0,0.97,0.88,-0.28,0.3,0.06,4.54,1.9281983,3.7179487,0.95332018,0.24444107,0.0025034815,0.1016,0.1016,0.1016,0.1016,111.2276,827.28063,,Neptunian,G,1.1481536,2.8931021,2.8511206,0.28973588,0,0,Hot,0,0.18915279,0
OGLE-2017-BLG-0406L b,Microlensing,OGLE,2020,130.0,Mass,14.2,,3.5,,,,OGLE-2017-BLG-0406L,,26.1,5200.0,,0.56,,,,,,3.0257114,9.1549296,0.64471335,0.045402349,0.21516505,3.5,3.5,3.5,3.5,,,,Jovian,,,,,0.38025984,0,0,,0,,0
Kepler-381 b,Transit,Kepler,2014,0.937,M-R relationship,0.99,5.629021,0.066,0.0,88.8,,Kepler-381,,10.47,267.323,6152.0,1.2,1.57,-0.202,2.57,0.514,4.12,0.97286415,0.94646465,0.9560249,0.96568171,0.00060792308,0.066,0.066,0.066,0.066,749.7425,1332.9926,1505.4057,Terran,F,3.2658783,4.8793701,4.0988197,0.44491199,0,0,Hot,0,0.29476803,0
Kepler-616 d,Transit,Kepler,2021,7.52,M-R relationship,2.653,51.067402,0.2749,0.0,89.66,,Kepler-616,,15.021,945.775,6004.0,1.06,0.98,-0.02,0.4,-0.111,4.48,1.6836053,2.834527,1.0684233,0.40272268,0.0052836087,0.2749,0.2749,0.2749,0.2749,10.248269,455.78743,,Neptunian,F,0.7744618,2.3760948,3.0498248,0.31309067,0,0,Hot,0,0.3363868,0
